id,created_at,updated_at,first_name,last_name,email,password,service_name,username,user_id
1,2025-04-27 08:08:04.878926,2025-04-27 08:08:04.878958,,,user_1@user.pl,Test1234!,infoshareacademy.com,User_1,1
2,2025-04-27 08:08:24.422871,2025-04-27 08:08:24.422887,,,user_1@user.pl,Test1234!,infoshare.pl,user_1,1
3,2025-04-27 08:08:41.326024,2025-04-27 08:08:41.326042,,,user_1@user.pl,Test1234!@#,nasza-klasa.pl,user_1,1
4,2025-04-27 08:09:13.270054,2025-04-27 08:09:13.270079,,,user_1@user.pl,Test12345!,google.com,user_1,1
5,2025-04-27 08:09:32.627152,2025-04-27 08:09:32.627176,,,user_1@user.pl,Test12345!,linkedin.com,Test,1
6,2025-04-27 08:09:43.411278,2025-04-27 08:09:43.411295,,,user_1@user.pl,asadssda,Testowy,user_1,1
7,2025-04-27 09:51:24.206643,2025-04-27 09:51:24.206678,,,user_1@user.pl,Test1234!,infoshareacademy.com,user_1,2
8,2025-04-27 09:51:36.669866,2025-04-27 09:51:36.669905,,,user_1@user.pl,sdfsdffds,infoshare.pl,user_1,2
9,2025-04-27 09:51:48.925419,2025-04-27 09:51:48.925437,,,user_1@user.pl,sadasd,nasza-klasa.pl,user_1,2
10,2025-04-27 09:52:02.167749,2025-04-27 09:52:02.167769,,,user_1@user.pl,sdfsdf,Testowy,user_1,2
